trial	speed	ball_pos	distance	broad	jitter	gap_time	shift_pos	trial_nr	block
15	0.5	3	9	5	0.9	0.2	-5	1	0
6	0.5	3	9	5	0.9	0.5	-5	2	0
21	0.5	3	9	5	0.6	0.2	5	3	0
47	0.5	3	9	5	0.3	0.4	5	4	0
48	0.5	3	9	5	0.6	0.5	5	5	0
2	0.5	3	9	5	0.6	0.1	-5	6	0
8	0.5	3	9	5	0.6	0.1	5	7	0
11	0.5	3	9	5	0.44999999999999996	0.4	5	8	0
18	0.5	3	9	5	0.44999999999999996	0.5	-5	9	0
31	0.5	3	9	5	0.3	0.0	5	10	0
25	0.5	3	9	5	0.9	0.0	-5	11	0
19	0.5	3	9	5	0.44999999999999996	0.0	5	12	0
16	0.5	3	9	5	0.3	0.30000000000000004	-5	13	0
20	0.5	3	9	5	0.9	0.1	5	14	0
43	0.5	3	9	5	0.3	0.0	5	15	0
3	0.5	3	9	5	0.6	0.2	-5	16	0
29	0.5	3	9	5	0.6	0.4	-5	17	0
13	0.5	3	9	5	0.3	0.0	-5	18	0
9	0.5	3	9	5	0.6	0.2	5	19	0
23	0.5	3	9	5	0.3	0.4	5	20	0
33	0.5	3	9	5	0.3	0.2	5	21	0
36	0.5	3	9	5	0.75	0.5	5	22	0
17	0.5	3	9	5	0.6	0.4	-5	23	0
1	0.5	3	9	5	0.3	0.0	-5	24	0
26	0.5	3	9	5	0.75	0.1	-5	25	0
35	0.5	3	9	5	0.75	0.4	5	26	0
22	0.5	3	9	5	0.6	0.30000000000000004	5	27	0
5	0.5	3	9	5	0.9	0.4	-5	28	0
37	0.5	3	9	5	0.9	0.0	-5	29	0
10	0.5	3	9	5	0.44999999999999996	0.30000000000000004	5	30	0
12	0.5	3	9	5	0.75	0.5	5	31	0
30	0.5	3	9	5	0.9	0.5	-5	32	0
32	0.5	3	9	5	0.9	0.1	5	33	0
28	0.5	3	9	5	0.44999999999999996	0.30000000000000004	-5	34	0
40	0.5	3	9	5	0.3	0.30000000000000004	-5	35	0
14	0.5	3	9	5	0.3	0.1	-5	36	0
7	0.5	3	9	5	0.75	0.0	5	37	0
24	0.5	3	9	5	0.44999999999999996	0.5	5	38	0
44	0.5	3	9	5	0.44999999999999996	0.1	5	39	0
42	0.5	3	9	5	0.75	0.5	-5	40	0
45	0.5	3	9	5	0.3	0.2	5	41	0
39	0.5	3	9	5	0.75	0.2	-5	42	0
41	0.5	3	9	5	0.44999999999999996	0.4	-5	43	0
46	0.5	3	9	5	0.75	0.30000000000000004	5	44	0
34	0.5	3	9	5	0.75	0.30000000000000004	5	45	0
27	0.5	3	9	5	0.6	0.2	-5	46	0
38	0.5	3	9	5	0.3	0.1	-5	47	0
4	0.5	3	9	5	0.9	0.30000000000000004	-5	48	0
4	0.5	3	9	5	0.9	0.30000000000000004	-5	1	1
30	0.5	3	9	5	0.9	0.5	-5	2	1
3	0.5	3	9	5	0.6	0.2	-5	3	1
26	0.5	3	9	5	0.75	0.1	-5	4	1
36	0.5	3	9	5	0.75	0.5	5	5	1
22	0.5	3	9	5	0.6	0.30000000000000004	5	6	1
18	0.5	3	9	5	0.44999999999999996	0.5	-5	7	1
27	0.5	3	9	5	0.6	0.2	-5	8	1
31	0.5	3	9	5	0.3	0.0	5	9	1
43	0.5	3	9	5	0.3	0.0	5	10	1
35	0.5	3	9	5	0.75	0.4	5	11	1
41	0.5	3	9	5	0.44999999999999996	0.4	-5	12	1
19	0.5	3	9	5	0.44999999999999996	0.0	5	13	1
39	0.5	3	9	5	0.75	0.2	-5	14	1
40	0.5	3	9	5	0.3	0.30000000000000004	-5	15	1
10	0.5	3	9	5	0.44999999999999996	0.30000000000000004	5	16	1
24	0.5	3	9	5	0.44999999999999996	0.5	5	17	1
48	0.5	3	9	5	0.6	0.5	5	18	1
32	0.5	3	9	5	0.9	0.1	5	19	1
45	0.5	3	9	5	0.3	0.2	5	20	1
21	0.5	3	9	5	0.6	0.2	5	21	1
17	0.5	3	9	5	0.6	0.4	-5	22	1
6	0.5	3	9	5	0.9	0.5	-5	23	1
9	0.5	3	9	5	0.6	0.2	5	24	1
20	0.5	3	9	5	0.9	0.1	5	25	1
11	0.5	3	9	5	0.44999999999999996	0.4	5	26	1
16	0.5	3	9	5	0.3	0.30000000000000004	-5	27	1
12	0.5	3	9	5	0.75	0.5	5	28	1
47	0.5	3	9	5	0.3	0.4	5	29	1
7	0.5	3	9	5	0.75	0.0	5	30	1
15	0.5	3	9	5	0.9	0.2	-5	31	1
25	0.5	3	9	5	0.9	0.0	-5	32	1
5	0.5	3	9	5	0.9	0.4	-5	33	1
23	0.5	3	9	5	0.3	0.4	5	34	1
34	0.5	3	9	5	0.75	0.30000000000000004	5	35	1
